,Date,Open,High,Low,Close,Adj Close,Volume,company_name,SMA_20,buy_signal,sell_signal,signal_SMA,EMA_10,EMA_30,EMA_50,signal_EMA,RSI,signal,OBV,signal_OBV
1096,2023-06-22,163.89999389648438,165.72000122070312,163.7899932861328,165.6199951171875,163.11990356445312,5485900,J&J,156.86772994995118,0,0,1,160.12725665589645,157.82830360029521,157.16639330903277,1,57.80822815098551,0,-446904000.0,1.0
1097,2023-06-23,166.11000061035156,166.27000427246094,165.02999877929688,165.47999572753906,162.9820098876953,9450700,J&J,157.30207214355468,0,0,1,160.64630269804167,158.1608007801275,157.39445670427443,1,60.315068008178564,0,-440987700.0,1.0
1098,2023-06-26,164.97999572753906,164.97999572753906,161.3300018310547,163.6300048828125,161.15994262695312,6978800,J&J,157.75611267089843,0,0,1,160.73969177602558,158.35429380250332,157.54212281888928,1,54.7864076000023,0,-445621200.0,0.0
1099,2023-06-27,163.67999267578125,163.8800048828125,162.44000244140625,163.2899932861328,160.8250732421875,4927500,J&J,158.19636459350585,0,0,1,160.7552156789641,158.51369892764427,157.6708659727441,1,53.119933183034796,0,-442269800.0,1.0
1100,2023-06-28,163.1999969482422,163.1999969482422,161.91000366210938,162.9600067138672,160.50006103515625,6780400,J&J,158.61938095092773,0,0,1,160.7088239255445,158.64185132167734,157.78181479872106,1,53.172938849066824,0,-448719500.0,0.0
1101,2023-06-29,162.63999938964844,164.32000732421875,162.22999572753906,164.10000610351562,161.62286376953125,4547500,J&J,159.06455917358397,0,0,1,160.87501298808755,158.83417470540985,157.9324441701254,1,40.14847092264071,0,-442810500.0,1.0
1102,2023-06-30,164.86000061035156,165.94000244140625,164.35000610351562,165.52000427246094,163.0214080810547,7580000,J&J,159.6052719116211,0,0,1,161.2652666413543,159.10431879416114,158.1320113823187,1,40.42668398183247,0,-437620500.0,1.0
1103,2023-07-03,164.33999633789062,164.38999938964844,162.9600067138672,163.35000610351562,160.88417053222656,4033700,J&J,159.9194564819336,0,0,1,161.1959764396947,159.21914793855245,158.239939192119,1,44.550801508510645,0,-425138600.0,1.0
1104,2023-07-05,162.99000549316406,163.9199981689453,162.72999572753906,162.80999755859375,160.35231018066406,7224600,J&J,160.14056625366212,0,0,1,161.0425825744164,159.292255179979,158.32277727010117,1,53.53811674954234,0,-414796100.0,1.0
1105,2023-07-06,162.25,162.3699951171875,161.0,161.60000610351562,159.1605987548828,6332500,J&J,160.3089859008789,0,0,0,160.70040369813756,159.28376121706958,158.3556330146024,1,52.906459980774216,0,-405875800.0,1.0
1106,2023-07-07,160.47000122070312,161.0399932861328,159.1999969482422,159.25,156.8460693359375,7021700,J&J,160.3449348449707,0,0,0,159.999615632283,159.1264907731256,158.2964344389685,1,60.50573067346753,0,-413144000.0,0.0
1107,2023-07-10,159.42999267578125,160.3000030517578,159.0,159.50999450683594,157.1021270751953,5739200,J&J,160.30800094604493,0,-1,0,159.4727995309943,158.99588666358173,158.24959885607544,1,70.0537905590645,0,-419786900.0,0.0
1108,2023-07-11,159.1300048828125,160.3000030517578,157.60000610351562,158.6300048828125,156.2354278564453,6607000,J&J,160.24004287719725,0,-1,0,158.8841864992581,158.8177925469923,158.17061175805074,1,74.67321461187768,0,-426319300.0,0.0
1109,2023-07-12,158.94000244140625,158.94000244140625,157.8800048828125,158.0800018310547,155.6937255859375,6940400,J&J,160.15041732788086,0,0,0,158.30410269683617,158.6162398398275,158.07347896698747,1,67.92829846270587,0,-432573000.0,0.0
1110,2023-07-13,158.0,159.1300048828125,157.41000366210938,158.80999755859375,156.41270446777344,6401700,J&J,160.05537338256835,0,0,0,157.96021210973385,158.47407626743694,158.00835055525357,0,59.6821716829167,0,-426482600.0,1.0
1111,2023-07-14,159.17999267578125,160.22999572753906,158.97999572753906,159.8699951171875,157.45669555664062,5361700,J&J,159.97214889526367,0,0,0,157.86866364553507,158.4084388022243,157.9867170258962,0,52.75361682762066,0,-421158200.0,1.0
1112,2023-07-17,159.75,159.8699951171875,158.14999389648438,159.07000732421875,156.6687774658203,5486800,J&J,159.74266662597657,0,0,0,157.65050252195056,158.29620258697244,157.93503312157952,0,56.19774703040682,0,-410393600.0,1.0
1113,2023-07-18,159.07000732421875,160.88999938964844,158.19000244140625,159.05999755859375,156.658935546875,6332500,J&J,159.48806915283203,0,0,0,157.47021761739137,158.19057245535325,157.88499007943423,0,60.15835026893148,0,-401152900.0,1.0
1114,2023-07-19,157.91000366210938,160.41000366210938,157.3300018310547,158.74000549316406,156.34376525878906,7522600,J&J,159.22263717651367,0,0,0,157.2654080976455,158.07142360396202,157.8245498903893,0,47.61057585090612,0,-422865400.0,0.0
1115,2023-07-20,161.94000244140625,169.13999938964844,161.3000030517578,168.3800048828125,165.83824157714844,21892900,J&J,159.44424057006836,0,0,1,158.82410509391875,158.5725086344902,158.1388123094779,1,45.73714140555037,0,-415634000.0,1.0
1116,2023-07-21,168.17999267578125,170.82000732421875,168.17999267578125,170.19000244140625,167.6209259033203,12076500,J&J,159.6692916870117,0,0,1,160.42352705926447,159.15627749054374,158.5106599013933,1,54.16560452863127,0,-408982500.0,1.0
1117,2023-07-24,171.5,173.82000732421875,170.99000549316406,171.0800018310547,168.4974822998047,15155400,J&J,159.9450653076172,0,0,1,161.89151892118085,159.7589358653348,158.90229999544863,1,52.147921181965266,0,-415990800.0,0.0
1118,2023-07-25,170.4499969482422,172.67999267578125,169.75,172.38999938964844,169.78770446777344,13790100,J&J,160.3764533996582,0,0,1,163.3271890205613,160.4059531945244,159.32917860220647,1,49.43419004198667,0,-411392200.0,1.0
1119,2023-07-26,172.0,173.85000610351562,171.39999389648438,172.72000122070312,170.11273193359375,14288200,J&J,160.84083633422853,0,0,1,164.5609240956581,161.03219698414176,159.75206304657462,1,40.450978045607386,0,-407593700.0,1.0
1120,2023-07-27,172.17999267578125,174.2899932861328,172.0399932861328,173.69000244140625,171.06809997558594,12446400,J&J,161.36923828125,0,0,1,165.7440469829177,161.67967459649302,160.1958292006535,1,38.034552538274724,0,-403423700.0,1.0
