Date,Open,High,Low,Close,Adj Close,Volume,company_name,RSI,buy_signal,sell_signal,signal
7/13/2023,339.5599976,343.7399902,339.019989,342.6600037,340.6135864,20567200,MICROSOFT,61.12330602,0,0,0
7/14/2023,347.5899963,351.4299927,344.3099976,345.2399902,343.1781311,28302200,MICROSOFT,53.86012215,0,0,0
7/17/2023,345.6799927,346.9899902,342.2000122,345.730011,343.6652222,20363900,MICROSOFT,49.00825709,0,0,0
7/18/2023,345.8299866,366.7799988,342.1700134,359.4899902,357.3430481,64872700,MICROSOFT,48.62613663,0,0,0
7/19/2023,361.75,362.4599915,352.4400024,355.0799866,352.9593506,39732900,MICROSOFT,52.62112883,0,0,0
7/20/2023,353.5700073,357.9700012,345.3699951,346.8699951,344.7984314,33778400,MICROSOFT,50.33306356,0,0,0
7/21/2023,349.1499939,350.2999878,339.8299866,343.769989,341.7169189,69368900,MICROSOFT,64.95375969,0,0,0
7/24/2023,345.8500061,346.9200134,342.3099976,345.1099854,343.0489197,26678100,MICROSOFT,67.00454511,0,0,0
7/25/2023,347.1099854,351.8900146,345.0700073,350.980011,348.8838806,41637700,MICROSOFT,78.33567153,0,-1,0
7/26/2023,341.4400024,344.6700134,333.1099854,337.769989,335.7527466,58383700,MICROSOFT,77.75775543,0,-1,0
7/27/2023,340.480011,341.3299866,329.0499878,330.7200012,328.7448425,39635300,MICROSOFT,72.68021944,0,-1,0
7/28/2023,333.6700134,340.0100098,333.1700134,338.3699951,336.3491821,28484900,MICROSOFT,57.59266264,0,0,0
7/31/2023,336.9200134,337.7000122,333.3599854,335.9200134,333.9138184,25446000,MICROSOFT,56.3039149,0,0,0
8/1/2023,335.1900024,338.5400085,333.7000122,336.3399963,334.3312988,18311900,MICROSOFT,57.26815613,0,0,0
8/2/2023,333.6300049,333.6300049,326.3599854,327.5,325.5440979,27761300,MICROSOFT,64.90893651,0,0,0
8/3/2023,326,329.8800049,325.9500122,326.6600037,324.709137,18253700,MICROSOFT,68.00474016,0,0,0
8/4/2023,331.8800049,335.1400146,327.2399902,327.7799988,325.8224182,23727700,MICROSOFT,72.49995474,0,-1,0
8/7/2023,328.3699951,331.1099854,327.519989,330.1099854,328.1385193,17741500,MICROSOFT,71.63458749,0,-1,0
8/8/2023,326.9599915,328.75,323,326.0499878,324.1027527,22327600,MICROSOFT,69.41446794,0,0,0
8/9/2023,326.4700012,327.1099854,321.0499878,322.230011,320.305603,22373300,MICROSOFT,70.45243569,0,-1,0
8/10/2023,326.019989,328.2600098,321.1799927,322.9299927,321.0014038,20113700,MICROSOFT,51.81655342,0,0,0
8/11/2023,320.2600098,322.4100037,319.2099915,321.0100098,319.092865,24342600,MICROSOFT,47.85797166,0,0,0
8/14/2023,321.3900146,324.0599976,320.0799866,324.0400085,322.1047668,18836100,MICROSOFT,42.00634457,0,0,0
8/15/2023,323,325.0899963,320.8999939,321.8599854,319.9377747,16966300,MICROSOFT,36.26379154,0,0,0
